,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
0,ab,LWF-047-2023,54.6685,-111.908, 2023-04-26 18:09:00,0.1, UC,,2023-07-10 10:42:18
1,ab,HWF-008-2023,58.4787,-114.536, 2023-04-17 23:22:00,0.01, UC,,2023-07-10 10:42:18
2,ab,WWF-015-2023,54.0948,-115.322, 2023-04-29 23:00:00,47.0, UC,,2023-07-10 10:42:18
3,ab,LWF-084-2023,54.6224,-111.829, 2023-05-04 03:35:00,153.0, UC, MDT,2023-07-10 10:42:18
4,ab,LWF-091-2023,54.5023,-113.654, 2023-05-04 22:50:00,200.0, UC, MDT,2023-07-10 10:42:18
5,ab,PWF-008-2023,56.4749,-117.295, 2023-04-17 01:50:00,64.6, UC,,2023-07-10 10:42:18
6,ab,HWF-002-2023,58.5221,-115.167, 2023-03-30 20:05:00,0.1, UC,,2023-07-10 10:42:18
7,ak,Windfall Mountain Coal Seam,65.0282,-141.246, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,,2023-07-10 10:42:18
8,sk,23LA-DECEPTION,56.5541,-104.258, 2023-05-12 17:58:36,1000.0, OC, CST,2023-07-10 10:42:18
9,ak,Trout Creek Coal Seam,65.0973,-141.639, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,,2023-07-10 10:42:18
10,bc,2023-G80175,56.5319,-121.925, 2023-05-03 04:05:00,385.0, UC, PDT,2023-07-10 10:42:18
11,bc,2023-G80220,56.2688,-119.93, 2023-05-05 21:37:00,6171.0, UC, PDT,2023-07-10 10:42:18
12,ab,PWF-036-2023,56.5305,-118.855, 2023-05-05 20:30:00,13.0, UC, MDT,2023-07-10 10:42:18
13,bc,2023-G30210,53.2884,-120.071, 2023-05-05 00:01:00,1100.0, UC, PDT,2023-07-10 10:42:18
14,bc,2023-G40324,53.9544,-124.519, 2023-05-15 21:42:00,142.0, UC, PDT,2023-07-10 10:42:18
15,ab,LWF-114-2023,55.181,-111.994, 2023-05-12 20:47:00,5.0, UC, MDT,2023-07-10 10:42:18
16,ab,SWF-060-2023,55.9564,-115.056, 2023-05-04 22:09:00,43981.0, BH, MDT,2023-07-10 10:42:18
17,bc,2023-G80291,56.5112,-121.222, 2023-05-13 23:03:00,29222.0, BH, PDT,2023-07-10 10:42:18
18,ab,LSZ-001-2023,55.272,-110.026, 2023-05-24 13:00:00,4900.0, OC, MDT,2023-07-10 10:42:18
19,bc,2023-G80223,56.4112,-121.233, 2023-05-05 22:06:00,2947.0, UC, PDT,2023-07-10 10:42:18
20,ab,PWF-035-2023,56.537,-118.874, 2023-05-05 20:30:00,0.3, UC, MDT,2023-07-10 10:42:18
21,nt,FS005-23,62.8533,-124.842, 2023-05-19 22:25:00,540.0, OC, MDT,2023-07-10 10:42:18
22,nt,FS004-23,63.2583,-125.12, 2023-05-17 14:30:00,10335.0, OC, MDT,2023-07-10 10:42:18
23,nt,FS003-23,62.554,-124.644, 2023-05-17 14:30:00,12453.0, OC, MDT,2023-07-10 10:42:18
24,mb,NO007,54.5228,-97.7611, 2023-05-15 05:00:00,3436.1, UC, CDT,2023-07-10 10:42:18
25,nt,FS002-23,61.8247,-123.87, 2023-05-19 21:49:00,14550.0, OC, MDT,2023-07-10 10:42:18
26,pc,2023NA1,61.8325,-123.936, 2023-05-16 19:52:18,57130.0, OC, MDT,2023-07-10 10:42:18
27,bc,2023-G70472,54.8899,-120.98, 2023-05-21 22:07:00,4.0, UC, PDT,2023-07-10 10:42:18
28,nt,SS004-23,60.9536,-119.188, 2023-05-12 23:30:00,5356.0, OC, MDT,2023-07-10 10:42:18
29,ab,SWF-085-2023,55.2233,-114.243, 2023-05-17 02:11:00,39.4, UC, MDT,2023-07-10 10:42:18
30,ab,LCU-003-2023,54.8075,-113.08, 2023-05-03 22:55:00,2553.1, UC, MDT,2023-07-10 10:42:18
31,ab,GWF-017-2023,55.0666,-117.391, 2023-05-05 18:04:00,5478.53, UC, MDT,2023-07-10 10:42:18
32,ab,GWF-023-2023,55.1575,-117.331, 2023-05-06 21:14:00,3888.9, UC, MDT,2023-07-10 10:42:18
33,pc,2023WB10,58.7334,-111.507, 2023-05-30 21:13:40,369.0, OC, MDT,2023-07-10 10:42:18
34,ak,Barley Way,63.9789,-145.35, 2023-05-20 00:00:00,125.49, Unstaffed/Contained,,2023-07-10 10:42:18
35,ab,LWF-120-2023,56.2228,-110.948, 2023-05-16 21:25:00,5.6, UC, MDT,2023-07-10 10:42:18
36,ab,MWF-030-2023,59.2466,-110.953, 2023-06-04 16:25:00,7.4, BH, MDT,2023-07-10 10:42:18
37,ab,MWF-026-2023,57.8825,-111.054, 2023-05-28 19:05:00,1705.0, BH, MDT,2023-07-10 10:42:18
38,qc,294,49.4994,-69.5892, 2023-06-02 00:00:00,0.0, UC, EDT,2023-07-10 10:42:18
