,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,bc,2023-G80173,56.934,-120.978, 2023-05-03 00:33:00,4.0, UC,2023-05-06 22:36:52
1,bc,2023-G70168,55.6748,-120.101, 2023-05-02 22:21:00,1.0, UC,2023-05-06 22:36:52
2,bc,2023-G80117,56.5133,-122.007, 2023-04-29 00:18:00,50.0, UC,2023-05-06 22:36:52
3,ab,EWF-027-2023,53.341,-117.133, 2023-05-03 23:04:00,0.01, UC,2023-05-06 22:36:52
4,ab,EWF-028-2023,53.7142,-115.817, 2023-05-04 00:30:00,0.1, UC,2023-05-06 22:36:52
5,bc,2023-G70170,55.8229,-120.964, 2023-05-02 23:37:00,4.1, BH,2023-05-06 22:36:52
6,bc,2023-C20093,51.9843,-122.636, 2023-04-27 00:31:00,60.0, UC,2023-05-06 22:36:52
7,mb,EA004,51.7097,-98.6408, 2023-05-03 05:00:00,50.0, UC,2023-05-06 22:36:52
8,ns,05-05-2023,44.341,-65.9681, 2023-05-04 06:00:00,1.0, UC,2023-05-06 22:36:52
9,bc,2023-R30212,54.8237,-127.112, 2023-05-05 02:19:00,0.01, OC,2023-05-06 22:36:52
10,ab,RWF-030-2023,52.8647,-115.819, 2023-05-04 18:59:00,0.01, BH,2023-05-06 22:36:52
11,ab,GWF-015-2023,55.6533,-119.007, 2023-05-01 02:25:00,7.4, UC,2023-05-06 22:36:52
12,bc,2023-G70116,56.0751,-120.689, 2023-04-29 00:10:00,10.0, UC,2023-05-06 22:36:52
13,pc,2023BA2,51.1985,-115.542, 2023-04-28 23:01:35,24.0, UC,2023-05-06 22:36:52
14,ab,WWF-021-2023,54.6023,-116.283, 2023-05-04 17:09:00,0.01, UC,2023-05-06 22:36:52
15,bc,2023-G70124,55.8354,-121.848, 2023-04-29 05:31:00,100.0, BH,2023-05-06 22:36:52
16,nl,104,49.0471,-55.0471, 2023-04-30 00:00:00,3.0, UC,2023-05-06 22:36:52
17,bc,2023-K70092,50.762,-122.783, 2023-04-26 23:51:00,7.7, UC,2023-05-06 22:36:52
18,pc,2023PA1,53.908,-106.08, 2023-04-29 22:03:29,40.0, UC,2023-05-06 22:36:52
19,ab,RWF-021-2023,52.5116,-115.595, 2023-05-03 22:14:00,0.5, UC,2023-05-06 22:36:52
20,ab,CWF-003-2023,51.2221,-114.85, 2023-05-01 21:25:00,0.5, UC,2023-05-06 22:36:52
21,sk,23LX-CLFN01,55.0965,-108.286, 2023-05-04 13:30:27,0.5, OC,2023-05-06 22:36:52
22,ab,LWF-040-2023,55.944,-110.736, 2023-04-23 21:26:00,150.0, BH,2023-05-06 22:36:52
23,pc,2023RM1,50.6668,-100.061, 2023-05-02 23:27:57,115.3, UC,2023-05-06 22:36:52
24,pc,2023BA3,51.2073,-115.535, 2023-05-04 19:43:17,3.3, BH,2023-05-06 22:36:52
25,ab,GWF-016-2023,55.791,-119.192, 2023-05-04 00:13:00,3.0, UC,2023-05-06 22:36:52
26,ab,SWF-061-2023,55.9931,-114.98, 2023-05-04 22:13:00,0.08, OC,2023-05-06 22:36:52
27,ab,MWF-010-2023,56.9355,-111.549, 2023-05-03 18:24:00,18.7, UC,2023-05-06 22:36:52
28,ab,PWF-030-2023,56.4765,-116.418, 2023-05-05 04:40:00,0.5, UC,2023-05-06 22:36:52
29,ab,LWF-049-2023,55.9288,-110.667, 2023-04-26 21:40:00,0.5, UC,2023-05-06 22:36:52
30,sk,23WY-MOLLY,54.5023,-105.559, 2023-05-04 14:07:09,10.1, OC,2023-05-06 22:36:52
31,bc,2023-G70189,55.8808,-120.245, 2023-05-03 23:49:00,63.0, UC,2023-05-06 22:36:52
32,ab,PWF-031-2023,56.4923,-116.503, 2023-05-05 11:50:00,0.25, UC,2023-05-06 22:36:52
33,bc,2023-R30209,54.7993,-127.189, 2023-05-04 23:14:00,1.3, UC,2023-05-06 22:36:52
34,ab,PWF-028-2023,56.4769,-116.413, 2023-05-05 02:12:00,0.8, UC,2023-05-06 22:36:52
35,sk,23LF-ROCKY,53.7017,-104.596, 2023-05-02 14:27:34,882.0, OC,2023-05-06 22:36:52
36,ab,MWF-009-2023,56.4365,-111.201, 2023-05-02 20:32:00,16.1, UC,2023-05-06 22:36:52
37,ab,LWF-010-2023,55.9568,-110.715, 2023-04-15 21:24:00,14.0, UC,2023-05-06 22:36:52
38,ab,RWF-011-2023,53.1048,-115.145, 2023-04-27 23:06:00,7.1, UC,2023-05-06 22:36:52
39,pc,2023WL2,49.0793,-113.844, 2023-04-29 16:56:15,240.0, OC,2023-05-06 22:36:52
40,ab,PWF-025-2023,56.2657,-117.33, 2023-05-03 22:38:00,1.8, UC,2023-05-06 22:36:52
41,ab,SWF-062-2023,56.0555,-115.018, 2023-05-04 22:25:00,0.01, BH,2023-05-06 22:36:52
42,bc,2023-G80190,56.34,-121.083, 2023-05-03 23:46:00,60.0, BH,2023-05-06 22:36:52
43,bc,2023-G80214,56.6116,-121.886, 2023-05-05 06:04:00,0.2, OC,2023-05-06 22:36:52
44,ab,GWF-011-2023,54.777,-118.701, 2023-04-30 00:56:00,0.8, UC,2023-05-06 22:36:52
45,bc,2023-G70195,55.677,-120.114, 2023-05-04 01:05:00,1.8, BH,2023-05-06 22:36:52
46,ab,SWF-047-2023,55.3052,-115.298, 2023-04-30 00:50:00,0.1, UC,2023-05-06 22:36:52
47,ab,EWF-021-2023,53.5507,-116.803, 2023-04-30 20:11:00,8.72, UC,2023-05-06 22:36:52
48,nt,SS001-23,60.2134,-111.48, 2023-05-05 00:00:00,1.0, OC,2023-05-06 22:36:52
49,ab,LWF-078-2023,55.2694,-113.232, 2023-05-01 14:30:00,0.1, UC,2023-05-06 22:36:52
50,sk,23PA-OAIR01,52.7143,-106.008, 2023-04-29 14:03:14,1035.0, UC,2023-05-06 22:36:52
