,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
0,ab,EWF-015-2023,53.6828,-115.948, 2023-04-29 20:20:00,46.57, UC,,2023-06-12 02:38:56
1,ab,LWF-047-2023,54.6685,-111.908, 2023-04-26 18:09:00,0.1, UC,,2023-06-12 02:38:56
2,ab,HWF-008-2023,58.4787,-114.536, 2023-04-17 23:22:00,0.01, UC,,2023-06-12 02:38:56
3,ab,EWF-014-2023,53.1571,-116.952, 2023-04-27 02:43:00,0.79, UC,,2023-06-12 02:38:56
4,ab,WWF-015-2023,54.0948,-115.322, 2023-04-29 23:00:00,47.0, UC,,2023-06-12 02:38:56
5,ab,LWF-084-2023,54.6224,-111.829, 2023-05-04 03:35:00,153.0, UC, MDT,2023-06-12 02:38:56
6,ab,LWF-091-2023,54.5023,-113.654, 2023-05-04 22:50:00,200.0, UC, MDT,2023-06-12 02:38:56
7,ab,PWF-008-2023,56.4749,-117.295, 2023-04-17 01:50:00,64.6, UC,,2023-06-12 02:38:56
8,ab,HWF-002-2023,58.5221,-115.167, 2023-03-30 20:05:00,0.1, UC,,2023-06-12 02:38:56
9,ak,Windfall Mountain Coal Seam,65.0282,-141.246, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,,2023-06-12 02:38:56
10,sk,23LA-DECEPTION,56.5541,-104.258, 2023-05-12 17:58:36,1000.0, OC, CST,2023-06-12 02:38:56
11,ak,FWA SAC Rx,64.8023,-147.613, 2023-04-21 00:00:00,819.49, Prescribed,,2023-06-12 02:38:56
12,ak,Trout Creek Coal Seam,65.0973,-141.639, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,,2023-06-12 02:38:56
13,ab,EWF-039-2023,53.4706,-115.871, 2023-05-06 03:51:00,165.0, BH, MDT,2023-06-12 02:38:56
14,ak,Stuart Creek Rx,64.7068,-146.606, 2023-05-03 00:00:00,5908.4, Pre,,2023-06-12 02:38:56
15,ab,SWF-063-2023,54.9577,-115.681, 2023-05-04 22:05:00,123670.0, OC, MDT,2023-06-12 02:38:56
16,ab,SWF-064-2023,54.896,-116.1, 2023-05-04 23:03:00,40060.0, OC, MDT,2023-06-12 02:38:56
17,bc,2023-G70412,56.0865,-121.967, 2023-05-20 04:07:00,4.0, UC, PDT,2023-06-12 02:38:56
18,ak,DTAE Jarvis Rx,63.987,-145.674, 2023-04-21 00:00:00,458.91, Pre,,2023-06-12 02:38:56
19,bc,2023-G30423,52.9898,-119.422, 2023-05-20 20:46:00,0.5, UC, PDT,2023-06-12 02:38:56
20,bc,2023-G80175,56.5319,-121.925, 2023-05-03 04:05:00,385.0, UC, PDT,2023-06-12 02:38:56
21,ab,EWF-038-2023,53.6919,-116.081, 2023-05-06 02:38:00,1.2, UC, MDT,2023-06-12 02:38:56
22,bc,2023-G90266,59.4932,-126.32, 2023-05-11 02:40:00,14.5, UC, PDT,2023-06-12 02:38:56
23,bc,2023-G80220,56.2688,-119.93, 2023-05-05 21:37:00,6171.0, UC, PDT,2023-06-12 02:38:56
24,ab,SWF-087-2023,55.2281,-114.275, 2023-05-17 02:29:00,1036.0, BH, MDT,2023-06-12 02:38:56
25,bc,2023-C40384,51.6366,-121.926, 2023-05-19 06:05:00,536.0, UC, PDT,2023-06-12 02:38:56
26,ab,PWF-036-2023,56.5305,-118.855, 2023-05-05 20:30:00,13.0, UC, MDT,2023-06-12 02:38:56
27,bc,2023-G30210,53.2884,-120.071, 2023-05-05 00:01:00,1100.0, UC, PDT,2023-06-12 02:38:56
28,bc,2023-G40324,53.9544,-124.519, 2023-05-15 21:42:00,142.0, UC, PDT,2023-06-12 02:38:56
29,ab,LWF-114-2023,55.181,-111.994, 2023-05-12 20:47:00,5.0, UC, MDT,2023-06-12 02:38:56
30,ab,SWF-060-2023,55.9564,-115.056, 2023-05-04 22:09:00,43981.0, BH, MDT,2023-06-12 02:38:56
31,ab,LWF-023-2023,55.9246,-110.691, 2023-04-18 18:45:00,0.01, UC,,2023-06-12 02:38:56
32,sk,23SR-KAY,59.6572,-109.611, 2023-05-19 18:13:18,3537.0, OC, CST,2023-06-12 02:38:56
33,bc,2023-G80291,56.5112,-121.222, 2023-05-13 23:03:00,29222.0, BH, PDT,2023-06-12 02:38:56
34,ab,RWF-040-2023,52.8087,-116.204, 2023-05-05 20:45:00,5089.0, OC, MDT,2023-06-12 02:38:56
35,ab,LSZ-001-2023,55.272,-110.026, 2023-05-24 13:00:00,4900.0, OC, MDT,2023-06-12 02:38:56
36,on,COC_FIRE_001,51.5566,-85.3216, 2023-05-28 20:52:00,45.0, OC, GMT,2023-06-12 02:38:56
37,bc,2023-G80223,56.4112,-121.233, 2023-05-05 22:06:00,2947.0, UC, PDT,2023-06-12 02:38:56
38,ab,PWF-035-2023,56.537,-118.874, 2023-05-05 20:30:00,0.3, UC, MDT,2023-06-12 02:38:56
39,bc,2023-G10411,53.5568,-121.767, 2023-05-20 02:04:00,55.0, UC, PDT,2023-06-12 02:38:56
40,ab,SWF-086-2023,55.1798,-114.116, 2023-05-17 02:17:00,4742.0, BH, MDT,2023-06-12 02:38:56
41,nt,FS005-23,62.8533,-124.842, 2023-05-19 22:25:00,540.0, OC, MDT,2023-06-12 02:38:56
42,nt,FS004-23,63.2583,-125.12, 2023-05-17 14:30:00,10335.0, OC, MDT,2023-06-12 02:38:56
43,nt,FS003-23,62.554,-124.644, 2023-05-17 14:30:00,12453.0, OC, MDT,2023-06-12 02:38:56
44,mb,NO007,54.5228,-97.7611, 2023-05-15 05:00:00,3436.1, UC, CDT,2023-06-12 02:38:56
45,nt,FS002-23,61.8247,-123.87, 2023-05-19 21:49:00,14550.0, OC, MDT,2023-06-12 02:38:56
46,pc,2023NA1,61.8325,-123.936, 2023-05-16 19:52:18,57130.0, OC, MDT,2023-06-12 02:38:56
47,ab,EWF-050-2023,53.4066,-115.484, 2023-05-27 23:40:00,1.1, UC, MDT,2023-06-12 02:38:56
48,pc,2023WB13,58.841,-113.196, 2023-05-31 01:25:47,0.2, OC, MDT,2023-06-12 02:38:56
