,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,ab,LWF-091-2023,54.5023,-113.654, 2023-05-04 22:50:00,200.0, UC,2023-05-29 12:37:19
1,ab,PWF-034-2023,56.5452,-119.479, 2023-05-05 19:33:00,587.0, BH,2023-05-29 12:37:19
2,sk,23LA-DECEPTION,56.5541,-104.258, 2023-05-12 17:58:36,1000.0, OC,2023-05-29 12:37:19
3,sk,23LA-MCCRAE,56.0684,-105.852, 2023-05-11 17:13:38,30000.0, OC,2023-05-29 12:37:19
4,ak,FWA SAC Rx,64.8023,-147.613, 2023-04-21 00:00:00,819.49, Prescribed,2023-05-29 12:37:19
5,ns,05-006-2023,44.3485,-65.957, 2023-05-08 18:00:00,118.73, UC,2023-05-29 12:37:19
6,bc,2023-G80122,56.7107,-121.07, 2023-04-29 02:53:00,154.0, UC,2023-05-29 12:37:19
7,sk,23LA-KOLWASKIE,57.2352,-102.716, 2023-05-12 17:23:55,3500.0, OC,2023-05-29 12:37:19
8,bc,2023-G70298,55.9873,-120.51, 2023-05-14 01:06:00,25.86, UC,2023-05-29 12:37:19
9,bc,2023-N70201,50.6099,-117.015, 2023-05-04 03:08:00,13.0, UC,2023-05-29 12:37:19
10,bc,2023-V80320,50.6116,-125.565, 2023-05-15 19:34:00,10.0, UC,2023-05-29 12:37:19
11,ab,LWF-120-2023,56.2228,-110.948, 2023-05-16 21:25:00,5.6, UC,2023-05-29 12:37:19
12,sk,23BN-VERMETTE,55.6443,-109.219, 2023-04-29 19:52:08,65547.0, OC,2023-05-29 12:37:19
13,nt,FS001-23,60.0514,-120.976, 2023-05-13 21:30:00,5698.0, OC,2023-05-29 12:37:19
14,nt,FS005-23,62.8533,-124.842, 2023-05-19 22:25:00,150.0, OC,2023-05-29 12:37:19
15,nt,FS002-23,61.8245,-123.872, 2023-05-19 21:49:00,200.0, OC,2023-05-29 12:37:19
16,ab,EWF-039-2023,53.4706,-115.871, 2023-05-06 03:51:00,165.0, BH,2023-05-29 12:37:19
17,nt,FS003-23,62.554,-124.644, 2023-05-17 14:30:00,1066.0, OC,2023-05-29 12:37:19
18,nt,FS004-23,63.2583,-125.12, 2023-05-17 14:30:00,2769.0, OC,2023-05-29 12:37:19
19,ab,EWF-037-2023,53.91,-117.559, 2023-05-06 16:47:00,578.0, BH,2023-05-29 12:37:19
20,bc,2023-V10313,49.3036,-122.218, 2023-05-14 23:02:00,19.23, UC,2023-05-29 12:37:19
21,bc,2023-N40468,50.9771,-118.343, 2023-05-21 02:51:00,0.01, BH,2023-05-29 12:37:19
22,ak,Stuart Creek Rx,64.7068,-146.606, 2023-05-03 00:00:00,5908.4, Pre,2023-05-29 12:37:19
23,ab,SWF-063-2023,54.9577,-115.681, 2023-05-04 22:05:00,123670.0, OC,2023-05-29 12:37:19
24,ab,SWF-057-2023,55.0343,-115.148, 2023-05-04 18:04:00,16728.0, OC,2023-05-29 12:37:19
25,ab,SWF-064-2023,54.896,-116.1, 2023-05-04 23:03:00,40060.0, OC,2023-05-29 12:37:19
26,ab,EWF-040-2023,53.9356,-117.776, 2023-05-06 17:05:00,684.0, BH,2023-05-29 12:37:19
27,bc,2023-C50354,52.4505,-125.433, 2023-05-17 22:22:00,145.0, UC,2023-05-29 12:37:19
28,ak,DTAE Jarvis Rx,63.987,-145.674, 2023-04-21 00:00:00,458.91, Pre,2023-05-29 12:37:19
29,bc,2023-G70412,56.0865,-121.967, 2023-05-20 04:07:00,4.0, UC,2023-05-29 12:37:19
30,bc,2023-G30423,52.9898,-119.422, 2023-05-20 20:46:00,0.5, UC,2023-05-29 12:37:19
31,bc,2023-K20469,52.1381,-119.569, 2023-05-21 21:12:00,57.0, OC,2023-05-29 12:37:19
32,bc,2023-G80175,56.5319,-121.925, 2023-05-03 04:05:00,385.0, UC,2023-05-29 12:37:19
33,bc,2023-G80220,56.2688,-119.93, 2023-05-05 21:37:00,6171.0, UC,2023-05-29 12:37:19
34,ab,RWF-031-2023,52.3535,-115.896, 2023-05-04 22:00:00,80.0, UC,2023-05-29 12:37:19
35,ab,EWF-038-2023,53.6919,-116.081, 2023-05-06 02:38:00,1.2, UC,2023-05-29 12:37:19
36,bc,2023-G90266,59.4932,-126.32, 2023-05-11 02:40:00,14.5, UC,2023-05-29 12:37:19
37,bc,2023-N60465,49.3172,-118.922, 2023-05-21 18:10:00,3.3, UC,2023-05-29 12:37:19
38,ab,GWF-019-2023,54.7357,-119.033, 2023-05-05 20:57:00,19435.0, BH,2023-05-29 12:37:19
39,ab,WWF-031-2023,54.3401,-115.699, 2023-05-22 14:45:00,0.03, UC,2023-05-29 12:37:19
40,ab,SWF-085-2023,55.2233,-114.243, 2023-05-17 02:11:00,39.4, BH,2023-05-29 12:37:19
41,ab,SWF-087-2023,55.2281,-114.275, 2023-05-17 02:29:00,1036.0, BH,2023-05-29 12:37:19
42,ab,GWF-027-2023,54.5201,-117.357, 2023-05-13 18:44:00,55344.0, OC,2023-05-29 12:37:19
43,ab,WWF-023-2023,54.3939,-116.341, 2023-05-05 20:03:00,73479.0, OC,2023-05-29 12:37:19
44,bc,2023-C40384,51.6366,-121.926, 2023-05-19 06:05:00,536.0, UC,2023-05-29 12:37:19
45,ab,GWF-020-2023,55.075,-117.88, 2023-05-05 20:53:00,30.0, BH,2023-05-29 12:37:19
46,ab,PWF-036-2023,56.5305,-118.855, 2023-05-05 20:30:00,13.0, UC,2023-05-29 12:37:19
47,sk,23SR-SINGER,59.8849,-108.941, 2023-05-23 10:56:04,129.0, OC,2023-05-29 12:37:19
48,bc,2023-G30210,53.2884,-120.071, 2023-05-05 00:01:00,1100.0, UC,2023-05-29 12:37:19
49,bc,2023-C10382,53.0758,-121.847, 2023-05-19 05:34:00,74.0, UC,2023-05-29 12:37:19
50,ab,SWF-086-2023,55.1798,-114.116, 2023-05-17 02:17:00,4742.0, OC,2023-05-29 12:37:19
51,pc,2023KO1,50.6743,-115.838, 2023-05-18 18:55:12,288.0, BH,2023-05-29 12:37:19
52,bc,2023-G40324,53.9544,-124.519, 2023-05-15 21:42:00,142.0, UC,2023-05-29 12:37:19
53,nt,SS005-23,60.8492,-115.694, 2023-05-14 15:45:00,3208.9, BH,2023-05-29 12:37:19
54,pc,2023WB1,58.6371,-114.002, 2023-05-16 22:51:58,1168.0, OC,2023-05-29 12:37:19
