,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
0,ab,EWF-015-2023,53.6828,-115.948, 2023-04-29 20:20:00,46.57, UC,,2023-06-16 04:39:18
1,ab,LWF-047-2023,54.6685,-111.908, 2023-04-26 18:09:00,0.1, UC,,2023-06-16 04:39:18
2,ab,HWF-008-2023,58.4787,-114.536, 2023-04-17 23:22:00,0.01, UC,,2023-06-16 04:39:18
3,ab,EWF-014-2023,53.1571,-116.952, 2023-04-27 02:43:00,0.79, UC,,2023-06-16 04:39:18
4,ab,WWF-015-2023,54.0948,-115.322, 2023-04-29 23:00:00,47.0, UC,,2023-06-16 04:39:18
5,ab,LWF-084-2023,54.6224,-111.829, 2023-05-04 03:35:00,153.0, UC, MDT,2023-06-16 04:39:18
6,ab,LWF-091-2023,54.5023,-113.654, 2023-05-04 22:50:00,200.0, UC, MDT,2023-06-16 04:39:18
7,ab,PWF-008-2023,56.4749,-117.295, 2023-04-17 01:50:00,64.6, UC,,2023-06-16 04:39:18
8,ab,HWF-002-2023,58.5221,-115.167, 2023-03-30 20:05:00,0.1, UC,,2023-06-16 04:39:18
9,ak,Windfall Mountain Coal Seam,65.0282,-141.246, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,,2023-06-16 04:39:18
10,sk,23LA-DECEPTION,56.5541,-104.258, 2023-05-12 17:58:36,1000.0, OC, CST,2023-06-16 04:39:18
11,ak,Trout Creek Coal Seam,65.0973,-141.639, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,,2023-06-16 04:39:18
12,ab,EWF-039-2023,53.4706,-115.871, 2023-05-06 03:51:00,165.0, BH, MDT,2023-06-16 04:39:18
13,ak,Stuart Creek Rx,64.7068,-146.606, 2023-05-03 00:00:00,5908.4, Pre,,2023-06-16 04:39:18
14,ab,SWF-063-2023,54.9577,-115.681, 2023-05-04 22:05:00,123670.0, OC, MDT,2023-06-16 04:39:18
15,ab,SWF-064-2023,54.896,-116.1, 2023-05-04 23:03:00,40060.0, OC, MDT,2023-06-16 04:39:18
16,bc,2023-G80175,56.5319,-121.925, 2023-05-03 04:05:00,385.0, UC, PDT,2023-06-16 04:39:18
17,bc,2023-G80220,56.2688,-119.93, 2023-05-05 21:37:00,6171.0, UC, PDT,2023-06-16 04:39:18
