,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,response_type,timestamp
0,ab,LWF-158-2023,55.9235,-110.689, 2023-06-22 16:42:00,0.01, UC, MDT, FUL,2023-11-04 00:51:02
1,nt,VQ014-23,66.6111,-128.729, 2023-07-10 00:46:00,2.0, OC, MDT, MON,2023-11-04 00:51:02
2,nt,FS016-23,60.14,-123.015, 2023-07-07 23:47:00,6.0, OC, MDT, FUL,2023-11-04 00:51:02
3,nt,FS013-23,60.5224,-122.895, 2023-07-05 00:43:00,1.0, OC, MDT, FUL,2023-11-04 00:51:02
4,nt,FS009-23,60.1275,-123.822, 2023-06-10 22:08:00,66.0, OC, MDT, MOD,2023-11-04 00:51:02
5,nt,FS007-23,60.7851,-121.359, 2023-06-05 19:24:00,333.0, OC, MDT, FUL,2023-11-04 00:51:02
6,ab,HWF-002-2023,58.5221,-115.167, 2023-03-30 20:05:00,0.1, UC, , FUL,2023-11-04 00:51:02
7,ab,RWF-040-2023,52.8087,-116.204, 2023-05-05 20:45:00,5089.0, UC, MDT, FUL,2023-11-04 00:51:02
8,nt,FS014-23,60.4825,-120.694, 2023-07-05 17:22:00,37.47, OC, MDT, MON,2023-11-04 00:51:02
9,ab,SWF-064-2023,54.896,-116.1, 2023-05-04 23:03:00,40060.0, UC, MDT, FUL,2023-11-04 00:51:02
10,ab,SWF-063-2023,54.9577,-115.681, 2023-05-04 22:05:00,123670.0, UC, MDT, FUL,2023-11-04 00:51:02
11,bc,2023-G91021,59.7755,-125.343, 2023-07-01 00:43:00,12.0, BH, PDT, MON,2023-11-04 00:51:02
12,ab,GWF-027-2023,54.5201,-117.357, 2023-05-13 18:44:00,54988.4, UC, MDT, FUL,2023-11-04 00:51:02
13,ab,LWF-084-2023,54.6224,-111.829, 2023-05-04 03:35:00,153.0, UC, MDT, FUL,2023-11-04 00:51:02
14,bc,2023-G80223,56.4112,-121.233, 2023-05-05 22:06:00,2947.0, UC, PDT, FUL,2023-11-04 00:51:02
15,ab,WCU-002-2023,53.6246,-115.101, 2023-04-30 01:37:00,2478.0, UC, MDT, FUL,2023-11-04 00:51:02
16,ab,EWF-035-2023,53.8368,-115.783, 2023-05-05 20:03:00,19672.0, UC, MDT, FUL,2023-11-04 00:51:02
17,ab,WCU-001-2023,53.5614,-114.903, 2023-04-29 22:40:00,6284.0, UC, MDT, FUL,2023-11-04 00:51:02
18,nt,SS005-23,60.8492,-115.694, 2023-05-14 15:45:00,3208.9, UC, MDT, FUL,2023-11-04 00:51:02
19,ab,LWF-148-2023,55.9353,-111.105, 2023-06-07 22:19:00,2317.0, UC, MDT, FUL,2023-11-04 00:51:02
20,ab,GWF-035-2023,55.5859,-119.403, 2023-06-04 21:41:00,872.0, UC, MDT, FUL,2023-11-04 00:51:02
21,nt,VQ011-23,65.1425,-126.079, 2023-07-09 15:26:00,6.0, OC, MDT, FUL,2023-11-04 00:51:02
22,nt,FS015-23,60.2083,-123.692, 2023-07-08 00:50:00,0.01, OC, MDT, FUL,2023-11-04 00:51:02
