,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
0,ab,PWF-034-2023,56.5452,-119.479, 2023-05-05 19:33:00,587.0, BH, MDT,2023-05-30 20:37:54
1,sk,23LA-DECEPTION,56.5541,-104.258, 2023-05-12 17:58:36,1000.0, OC, CST,2023-05-30 20:37:54
2,sk,23LA-MCCRAE,56.0684,-105.852, 2023-05-11 17:13:38,30000.0, OC, CST,2023-05-30 20:37:54
3,ak,FWA SAC Rx,64.8023,-147.613, 2023-04-21 00:00:00,819.49, Prescribed,,2023-05-30 20:37:54
4,bc,2023-G80122,56.7107,-121.07, 2023-04-29 02:53:00,154.0, UC,,2023-05-30 20:37:54
5,sk,23LA-KOLWASKIE,57.2352,-102.716, 2023-05-12 17:23:55,3500.0, OC, CST,2023-05-30 20:37:54
6,bc,2023-V80320,50.6116,-125.565, 2023-05-15 19:34:00,10.0, UC, PDT,2023-05-30 20:37:54
7,ab,LWF-120-2023,56.2228,-110.948, 2023-05-16 21:25:00,5.6, UC, MDT,2023-05-30 20:37:54
8,ab,EWF-039-2023,53.4706,-115.871, 2023-05-06 03:51:00,165.0, BH, MDT,2023-05-30 20:37:54
9,ab,EWF-037-2023,53.91,-117.559, 2023-05-06 16:47:00,578.0, BH, MDT,2023-05-30 20:37:54
10,bc,2023-V10313,49.3036,-122.218, 2023-05-14 23:02:00,19.23, UC, PDT,2023-05-30 20:37:54
11,ak,Stuart Creek Rx,64.7068,-146.606, 2023-05-03 00:00:00,5908.4, Pre,,2023-05-30 20:37:54
12,ab,SWF-064-2023,54.896,-116.1, 2023-05-04 23:03:00,40060.0, OC, MDT,2023-05-30 20:37:54
13,ab,SWF-063-2023,54.9577,-115.681, 2023-05-04 22:05:00,123670.0, OC, MDT,2023-05-30 20:37:54
14,ab,SWF-057-2023,55.0343,-115.148, 2023-05-04 18:04:00,16728.0, OC, MDT,2023-05-30 20:37:54
15,ab,EWF-040-2023,53.9356,-117.776, 2023-05-06 17:05:00,684.0, BH, MDT,2023-05-30 20:37:54
16,bc,2023-G70412,56.0865,-121.967, 2023-05-20 04:07:00,4.0, UC, PDT,2023-05-30 20:37:54
17,ak,DTAE Jarvis Rx,63.987,-145.674, 2023-04-21 00:00:00,458.91, Pre,,2023-05-30 20:37:54
18,bc,2023-G30423,52.9898,-119.422, 2023-05-20 20:46:00,0.5, UC, PDT,2023-05-30 20:37:54
19,bc,2023-K20469,52.1381,-119.569, 2023-05-21 21:12:00,57.0, OC, PDT,2023-05-30 20:37:54
20,bc,2023-G80175,56.5319,-121.925, 2023-05-03 04:05:00,385.0, UC, PDT,2023-05-30 20:37:54
21,bc,2023-G80220,56.2688,-119.93, 2023-05-05 21:37:00,6171.0, UC, PDT,2023-05-30 20:37:54
22,ab,RWF-031-2023,52.3535,-115.896, 2023-05-04 22:00:00,80.0, UC, MDT,2023-05-30 20:37:54
23,ab,EWF-038-2023,53.6919,-116.081, 2023-05-06 02:38:00,1.2, UC, MDT,2023-05-30 20:37:54
24,bc,2023-G90266,59.4932,-126.32, 2023-05-11 02:40:00,14.5, UC, PDT,2023-05-30 20:37:54
25,ab,WWF-031-2023,54.3401,-115.699, 2023-05-22 14:45:00,0.03, UC, MDT,2023-05-30 20:37:54
26,ab,GWF-019-2023,54.7357,-119.033, 2023-05-05 20:57:00,19435.0, BH, MDT,2023-05-30 20:37:54
27,ab,SWF-085-2023,55.2233,-114.243, 2023-05-17 02:11:00,39.4, BH, MDT,2023-05-30 20:37:54
28,ab,SWF-087-2023,55.2281,-114.275, 2023-05-17 02:29:00,1036.0, BH, MDT,2023-05-30 20:37:54
29,ab,GWF-027-2023,54.5201,-117.357, 2023-05-13 18:44:00,55344.0, OC, MDT,2023-05-30 20:37:54
30,ab,WWF-023-2023,54.3939,-116.341, 2023-05-05 20:03:00,73479.0, OC, MDT,2023-05-30 20:37:54
31,bc,2023-C40384,51.6366,-121.926, 2023-05-19 06:05:00,536.0, UC, PDT,2023-05-30 20:37:54
32,ab,GWF-020-2023,55.075,-117.88, 2023-05-05 20:53:00,30.0, BH, MDT,2023-05-30 20:37:54
33,ab,PWF-036-2023,56.5305,-118.855, 2023-05-05 20:30:00,13.0, UC, MDT,2023-05-30 20:37:54
34,bc,2023-G30210,53.2884,-120.071, 2023-05-05 00:01:00,1100.0, UC, PDT,2023-05-30 20:37:54
35,bc,2023-C10382,53.0758,-121.847, 2023-05-19 05:34:00,74.0, UC, PDT,2023-05-30 20:37:54
36,pc,2023KO1,50.6743,-115.838, 2023-05-18 18:55:12,288.0, BH,,2023-05-30 20:37:54
37,bc,2023-G40324,53.9544,-124.519, 2023-05-15 21:42:00,142.0, UC, PDT,2023-05-30 20:37:54
38,nt,SS005-23,60.8492,-115.694, 2023-05-14 15:45:00,3208.9, BH,,2023-05-30 20:37:54
