,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
23,bc,2023-R30209,54.7993,-127.189, 2023-05-04 23:14:00,1.3, UC,2023-05-09 14:36:34
24,ab,RWF-011-2023,53.1048,-115.145, 2023-04-27 23:06:00,7.1, UC,2023-05-09 14:36:34
25,pc,2023WL2,49.0793,-113.844, 2023-04-29 16:56:15,240.0, OC,2023-05-09 14:36:34
26,ab,PWF-025-2023,56.2657,-117.33, 2023-05-03 22:38:00,1.8, UC,2023-05-09 14:36:34
27,ab,GWF-011-2023,54.777,-118.701, 2023-04-30 00:56:00,0.8, UC,2023-05-09 14:36:34
28,bc,2023-G70195,55.677,-120.114, 2023-05-04 01:05:00,1.8, BH,2023-05-09 14:36:34
29,nt,SS001-23,60.2134,-111.48, 2023-05-05 00:00:00,1.0, OC,2023-05-09 14:36:34
30,ab,EWF-029-2023,53.1687,-115.648, 2023-05-04 01:38:00,0.2, UC,2023-05-09 14:36:34
31,ab,GWF-021-2023,54.592,-118.305, 2023-05-05 20:50:00,0.01, UC,2023-05-09 14:36:34
32,ab,LWF-038-2023,55.9048,-110.766, 2023-04-23 18:13:00,56.7, BH,2023-05-09 14:36:34
33,bc,2023-C40109,51.2228,-121.561, 2023-04-28 21:06:00,10.5, UC,2023-05-09 14:36:34
34,bc,2023-G70145,55.7133,-120.643, 2023-04-30 19:45:00,3.9, UC,2023-05-09 14:36:34
35,ab,EWF-015-2023,53.6828,-115.948, 2023-04-29 20:20:00,46.57, UC,2023-05-09 14:36:34
36,ab,PWF-027-2023,56.4153,-118.698, 2023-05-04 03:19:00,0.4, BH,2023-05-09 14:36:34
37,bc,2023-C50100,52.0351,-123.177, 2023-04-27 21:19:00,209.0, UC,2023-05-09 14:36:34
38,ab,PWF-029-2023,56.3787,-119.316, 2023-05-05 03:06:00,0.1, BH,2023-05-09 14:36:34
39,bc,2023-G30213,52.999,-119.303, 2023-05-05 03:49:00,0.01, UC,2023-05-09 14:36:34
40,bc,2023-N10166,49.6537,-116.035, 2023-05-02 20:04:00,3.0, UC,2023-05-09 14:36:34
41,bc,2023-N50196,49.4189,-117.608, 2023-05-04 01:25:00,3.5, UC,2023-05-09 14:36:34
42,ab,PWF-032-2023,56.3237,-117.654, 2023-05-05 18:25:00,0.01, BH,2023-05-09 14:36:34
43,ab,RWF-038-2023,52.2621,-115.205, 2023-05-05 18:08:00,7.0, UC,2023-05-09 14:36:34
44,bc,2023-N70201,50.6148,-117.017, 2023-05-04 03:08:00,4.0, BH,2023-05-09 14:36:34
45,bc,2023-V50205,49.8282,-124.131, 2023-05-04 20:58:00,1.2, UC,2023-05-09 14:36:34
46,bc,2023-G80175,56.558,-121.921, 2023-05-03 04:05:00,280.0, OC,2023-05-09 14:36:34
47,ab,EWF-036-2023,53.2826,-117.322, 2023-05-05 20:14:00,0.01, UC,2023-05-09 14:36:34
48,bc,2023-G80164,56.5127,-121.964, 2023-05-02 03:29:00,4.0, UC,2023-05-09 14:36:34
49,ab,RWF-012-2023,52.4403,-115.374, 2023-04-28 16:30:00,46.0, UC,2023-05-09 14:36:34
50,bc,2023-G40218,53.9965,-123.819, 2023-05-05 21:07:00,0.2, UC,2023-05-09 14:36:34
51,bc,2023-N10165,49.1428,-115.101, 2023-05-01 17:27:00,0.1, BH,2023-05-09 14:36:34
52,ab,LWF-047-2023,54.6685,-111.908, 2023-04-26 18:09:00,0.1, UC,2023-05-09 14:36:34
53,bc,2023-G10177,53.7618,-122.713, 2023-05-03 18:15:00,2.0, UC,2023-05-09 14:36:34
54,sk,23BN-BRIR01,55.9044,-108.914, 2023-05-01 13:48:10,36.0, UC,2023-05-09 14:36:34
55,ab,EWF-025-2023,53.4829,-115.224, 2023-05-02 20:26:00,1.8, UC,2023-05-09 14:36:34
56,bc,2023-R30143,54.8733,-127.264, 2023-04-30 01:45:00,3.54, UC,2023-05-09 14:36:34
57,ab,SWF-064-2023,54.896,-116.1, 2023-05-04 23:03:00,19024.0, OC,2023-05-09 14:36:34
58,ab,EWF-037-2023,53.91,-117.559, 2023-05-06 16:47:00,80.0, OC,2023-05-09 14:36:34
59,ab,PWF-035-2023,56.537,-118.874, 2023-05-05 20:30:00,0.3, BH,2023-05-09 14:36:34
60,ab,SWF-068-2023,55.8778,-116.408, 2023-05-05 19:12:00,23706.0, OC,2023-05-09 14:36:34
61,ab,EWF-041-2023,53.941,-117.82, 2023-05-06 17:20:00,2.5, OC,2023-05-09 14:36:34
62,ab,EWF-042-2023,53.9295,-117.792, 2023-05-06 17:26:00,4.0, OC,2023-05-09 14:36:34
63,ab,EWF-040-2023,53.9356,-117.776, 2023-05-06 17:05:00,3.0, OC,2023-05-09 14:36:34
64,ab,PMD-002-2023,56.1576,-118.106, 2023-05-02 00:18:00,2.5, BH,2023-05-09 14:36:34
65,ab,EWF-031-2023,53.1452,-115.687, 2023-05-04 19:21:00,77920.0, OC,2023-05-09 14:36:34
66,ab,HWF-030-2023,58.468,-114.484, 2023-05-02 21:29:00,16400.0, OC,2023-05-09 14:36:34
67,ab,WWF-017-2023,54.4422,-116.779, 2023-05-04 01:45:00,4.0, UC,2023-05-09 14:36:34
68,ab,PWF-033-2023,56.2557,-118.21, 2023-05-05 19:19:00,1.0, BH,2023-05-09 14:36:34
69,ab,PWF-037-2023,56.2736,-118.343, 2023-05-06 00:34:00,1.0, BH,2023-05-09 14:36:34
70,ab,RWF-040-2023,52.8087,-116.204, 2023-05-05 20:45:00,2200.0, OC,2023-05-09 14:36:34
71,bc,2023-G70182,55.7138,-121.507, 2023-05-03 21:08:00,1.0, UC,2023-05-09 14:36:34
72,ab,RWF-036-2023,52.5445,-115.421, 2023-05-05 01:00:00,3.5, UC,2023-05-09 14:36:34
73,sk,23PA-SPRUCE,53.4146,-105.768, 2023-05-06 15:37:59,1.0, UC,2023-05-09 14:36:34
74,ab,EWF-039-2023,53.4706,-115.871, 2023-05-06 03:51:00,216.0, OC,2023-05-09 14:36:34
75,ab,LWF-091-2023,54.5023,-113.654, 2023-05-04 22:50:00,200.0, BH,2023-05-09 14:36:34
76,ab,WWF-024-2023,54.2404,-116.057, 2023-05-06 22:37:00,3.0, UC,2023-05-09 14:36:34
77,sk,23WY-MOLLY,54.5023,-105.559, 2023-05-04 14:07:09,19.8, UC,2023-05-09 14:36:34
78,sk,23LF-ROCKY,53.7017,-104.596, 2023-05-02 14:27:34,882.0, UC,2023-05-09 14:36:34
79,ab,EWF-035-2023,53.8368,-115.783, 2023-05-05 20:03:00,5027.0, OC,2023-05-09 14:36:34
80,mb,EA006,49.6353,-95.6661, 2023-05-04 05:00:00,13.0, UC,2023-05-09 14:36:34
81,ab,PWF-038-2023,56.3832,-116.808, 2023-05-06 05:24:00,6219.0, OC,2023-05-09 14:36:34
82,mb,EA008,51.7136,-98.6169, 2023-05-06 05:00:00,327.5, UC,2023-05-09 14:36:34
83,ab,SWF-057-2023,55.0343,-115.148, 2023-05-04 18:04:00,8136.0, OC,2023-05-09 14:36:34
84,ab,RWF-034-2023,52.8151,-115.45, 2023-05-04 22:59:00,64575.0, OC,2023-05-09 14:36:34
85,ab,LWF-084-2023,54.6224,-111.829, 2023-05-04 03:35:00,153.0, UC,2023-05-09 14:36:34
86,ab,RWF-014-2023,52.9552,-114.958, 2023-04-30 20:14:00,48.5, UC,2023-05-09 14:36:34
87,ab,WWF-015-2023,54.0948,-115.322, 2023-04-29 23:00:00,47.0, UC,2023-05-09 14:36:34
88,bc,2023-C40128,51.3709,-120.999, 2023-04-29 19:57:00,113.0, UC,2023-05-09 14:36:34
89,ab,PWF-034-2023,56.5452,-119.479, 2023-05-05 19:33:00,370.0, OC,2023-05-09 14:36:34
90,bc,2023-V50198,49.8332,-124.106, 2023-05-04 02:44:00,1.36, UC,2023-05-09 14:36:34
91,ab,RWF-039-2023,52.8328,-114.919, 2023-05-05 20:45:00,2.5, UC,2023-05-09 14:36:34
92,nt,SS002-23,60.0154,-112.165, 2023-05-05 22:45:00,28.5, UC,2023-05-09 14:36:34
93,bc,2023-G70131,55.4533,-120.059, 2023-04-29 21:10:00,10.0, UC,2023-05-09 14:36:34
94,ab,WCU-002-2023,53.6246,-115.101, 2023-04-30 01:37:00,2400.0, OC,2023-05-09 14:36:34
95,ab,GWF-023-2023,55.1575,-117.331, 2023-05-06 21:14:00,1189.0, OC,2023-05-09 14:36:34
96,ab,GWF-018-2023,56.2818,-119.162, 2023-05-05 19:25:00,10508.0, OC,2023-05-09 14:36:34
97,ab,LWF-099-2023,54.586,-113.792, 2023-05-07 22:40:00,0.01, BH,2023-05-09 14:36:34
98,ab,RWF-031-2023,52.3649,-115.901, 2023-05-04 22:00:00,80.0, BH,2023-05-09 14:36:34
99,ab,GWF-017-2023,55.0666,-117.391, 2023-05-05 18:04:00,3765.0, OC,2023-05-09 14:36:34
100,ab,LCU-003-2023,54.8075,-113.08, 2023-05-03 22:55:00,2553.1, BH,2023-05-09 14:36:34
101,ab,GWF-019-2023,54.7357,-119.033, 2023-05-05 20:57:00,8362.0, OC,2023-05-09 14:36:34
102,bc,2023-G80222,56.1278,-120.258, 2023-05-05 22:34:00,15.0, BH,2023-05-09 14:36:34
103,bc,2023-G70169,55.9185,-121.592, 2023-05-02 23:24:00,8.0, UC,2023-05-09 14:36:34
104,bc,2023-G80122,56.7135,-121.082, 2023-04-29 02:53:00,154.0, UC,2023-05-09 14:36:34
105,bc,2023-G70124,55.8354,-121.848, 2023-04-29 05:31:00,100.0, UC,2023-05-09 14:36:34
106,ab,SWF-063-2023,54.9577,-115.681, 2023-05-04 22:05:00,56461.0, OC,2023-05-09 14:36:34
107,bc,2023-K40216,50.8495,-118.542, 2023-05-05 19:06:00,12.5, OC,2023-05-09 14:36:34
108,ab,SWF-059-2023,56.0543,-115.008, 2023-05-04 22:00:00,1210.0, OC,2023-05-09 14:36:34
109,ab,EWF-045-2023,53.6565,-116.571, 2023-05-07 21:00:00,0.01, UC,2023-05-09 14:36:34
110,sk,23BN-VERMETTE,55.6443,-109.219, 2023-04-29 19:52:08,12000.0, OC,2023-05-09 14:36:34
111,bc,2023-G80190,56.3376,-121.101, 2023-05-03 23:46:00,60.0, UC,2023-05-09 14:36:34
112,bc,2023-G70243,55.7918,-121.95, 2023-05-07 00:44:00,2.0, UC,2023-05-09 14:36:34
113,bc,2023-R20242,54.1118,-126.754, 2023-05-06 23:41:00,0.6, UC,2023-05-09 14:36:34
114,ab,PWF-028-2023,56.4769,-116.413, 2023-05-05 02:00:00,0.8, UC,2023-05-09 14:36:34
115,ab,WWF-023-2023,54.3939,-116.341, 2023-05-05 20:03:00,21568.0, OC,2023-05-09 14:36:34
116,ab,GWF-020-2023,55.075,-117.88, 2023-05-05 20:58:00,30.0, BH,2023-05-09 14:36:34
117,ab,HWF-042-2023,58.4202,-116.123, 2023-05-06 18:53:00,181.7, BH,2023-05-09 14:36:34
118,bc,2023-G80223,56.4112,-121.233, 2023-05-05 22:06:00,2800.0, OC,2023-05-09 14:36:34
119,bc,2023-G30210,53.2884,-120.071, 2023-05-05 00:01:00,1100.0, BH,2023-05-09 14:36:34
120,bc,2023-G80220,56.2688,-119.93, 2023-05-05 21:37:00,5900.0, OC,2023-05-09 14:36:34
121,ab,LWF-090-2023,54.828,-113.585, 2023-05-04 19:18:00,0.16, UC,2023-05-09 14:36:34
122,sk,23DN-LL01,53.9271,-109.232, 2023-05-06 14:07:33,4.4, UC,2023-05-09 14:36:34
123,sk,23DN-BIIR03,54.4123,-109.603, 2023-05-06 17:54:01,5.5, UC,2023-05-09 14:36:34
124,sk,23PA-LILLY,53.0138,-106.191, 2023-04-29 17:55:27,754.0, UC,2023-05-09 14:36:34
125,on,KEN_FIRE_005,50.1902,-94.9297, 2023-05-06 18:35:00,0.3, UC,2023-05-09 14:36:34
126,ab,SWF-060-2023,55.9564,-115.056, 2023-05-04 22:09:00,15880.0, OC,2023-05-09 14:36:34
127,mb,EA010,51.9231,-99.5408, 2023-05-07 05:00:00,40.5, UC,2023-05-09 14:36:34
128,nb,61163,46.7355,-65.1629, 2023-05-07 14:41:54,0.1, BH,2023-05-09 14:36:34
129,ab,WCU-001-2023,53.5614,-114.903, 2023-04-29 22:40:00,9898.0, OC,2023-05-09 14:36:34
130,ak,DTAE Willis Rx,63.9873,-145.748, 2023-04-21 00:00:00,68.8, Pre,2023-05-09 14:36:34
131,ab,SWF-066-2023,55.9142,-113.913, 2023-05-05 17:43:00,0.2, UC,2023-05-09 14:36:34
132,ab,WWF-020-2023,54.5988,-116.386, 2023-05-04 16:57:00,0.01, UC,2023-05-09 14:36:34
133,nb,61203,46.2759,-67.6487, 2023-05-07 22:54:51,0.3, BH,2023-05-09 14:36:34
134,mb,EA007,52.3658,-97.0283, 2023-05-05 05:00:00,12.4, UC,2023-05-09 14:36:34
135,ab,EWF-043-2023,53.9218,-117.655, 2023-05-06 19:00:00,4.0, OC,2023-05-09 14:36:34
136,bc,2023-G70226,56.0744,-120.73, 2023-05-05 23:49:00,3.4, UC,2023-05-09 14:36:34
137,bc,2023-G10224,54.1082,-122.542, 2023-05-05 22:23:00,1.15, UC,2023-05-09 14:36:34
138,bc,2023-N20225,49.9561,-115.659, 2023-05-05 23:32:00,0.1, UC,2023-05-09 14:36:34
139,ab,GWF-022-2023,54.8389,-118.957, 2023-05-06 20:41:00,15.0, BH,2023-05-09 14:36:34
140,mb,WE002,54.0506,-100.949, 2023-05-07 05:00:00,0.1, UC,2023-05-09 14:36:34
141,yt,2023XY007,60.7656,-135.093, 2023-05-08 18:41:00,2.0, BH,2023-05-09 14:36:34
142,sk,23LX-SHAW,55.5584,-108.38, 2023-05-04 17:17:17,5244.0, OC,2023-05-09 14:36:34
143,bc,2023-V60249,48.7879,-124.127, 2023-05-08 21:17:00,0.01, OC,2023-05-09 14:36:34
144,nb,61263,45.8785,-65.5988, 2023-05-08 14:22:06,0.4, BH,2023-05-09 14:36:34
145,ns,05-005-2023,44.341,-65.9681, 2023-05-04 06:00:00,1.0, UC,2023-05-09 14:36:34
146,ns,03-007-2023,43.7949,-65.3569, 2023-05-08 06:00:00,1.5, UC,2023-05-09 14:36:34
147,ab,LWF-023-2023,55.9246,-110.691, 2023-04-18 18:45:00,0.01, BH,2023-05-09 14:36:34
148,ab,MWF-012-2023,59.9821,-111.853, 2023-05-07 18:00:00,0.9, UC,2023-05-09 14:36:34
149,sk,23BR-AIR02,53.3602,-106.898, 2023-05-07 16:47:43,13.0, UC,2023-05-09 14:36:34
150,ab,EWF-038-2023,53.6919,-116.081, 2023-05-06 02:43:00,1.2, BH,2023-05-09 14:36:34
151,ab,MWF-009-2023,56.4365,-111.211, 2023-05-02 20:32:00,16.1, UC,2023-05-09 14:36:34
152,sk,23LX-PERCH,55.4281,-107.772, 2023-05-08 13:26:16,0.4, UC,2023-05-09 14:36:34
153,sk,23LX-SCRUB2,55.1499,-107.617, 2023-05-08 17:43:07,0.0, OC,2023-05-09 14:36:34
154,ab,HWF-036-2023,58.4906,-119.403, 2023-05-03 22:26:00,17088.0, OC,2023-05-09 14:36:34
155,bc,2023-G80245,56.4392,-121.522, 2023-05-07 05:08:00,19.1, UC,2023-05-09 14:36:34
156,sk,23DB-DLIR01,54.9092,-103.38, 2023-05-08 12:05:59,0.4, OC,2023-05-09 14:36:34
157,ab,SWF-072-2023,55.296,-116.671, 2023-05-08 22:25:00,0.01, BH,2023-05-09 14:36:34
158,sk,23DN-REDMOND LAKE,54.4281,-108.324, 2023-05-08 19:24:47,1.0, OC,2023-05-09 14:36:34
159,ab,LWF-101-2023,55.1992,-112.57, 2023-05-08 22:02:00,0.1, UC,2023-05-09 14:36:34
160,sk,23DN-WHIR05,54.426,-108.324, 2023-05-08 19:24:47,0.6, UC,2023-05-09 14:36:34
161,ab,PWF-036-2023,56.5305,-118.855, 2023-05-05 20:30:00,13.0, BH,2023-05-09 14:36:34
162,sk,23WY-LRIR03,53.5091,-105.949, 2023-05-08 08:27:59,0.5, UC,2023-05-09 14:36:34
163,sk,23WY-LRIR04,53.4748,-105.851, 2023-05-08 08:57:49,2.0, UC,2023-05-09 14:36:34
164,sk,23PA-LRRIR01,53.4543,-105.847, 2023-05-08 10:03:08,9.0, UC,2023-05-09 14:36:34
165,nb,61282,47.6958,-67.4258, 2023-05-08 17:14:53,0.1, BH,2023-05-09 14:36:34
166,ak,Trout Creek,65.0973,-141.639, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,2023-05-09 14:36:34
167,ak,Windfall Mountain,65.0282,-141.246, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,2023-05-09 14:36:34
168,ak,DTAE Bolio Rx,63.8623,-145.903, 2023-04-21 00:00:00,364.22, Pre,2023-05-09 14:36:34
169,sk,23WY-MEYAK,54.8219,-105.766, 2023-05-07 14:47:25,128.0, OC,2023-05-09 14:36:34
170,mb,WE003,53.8686,-101.37, 2023-05-08 05:00:00,0.6, UC,2023-05-09 14:36:34
171,mb,WE004,53.8244,-101.193, 2023-05-08 05:00:00,2.0, OC,2023-05-09 14:36:34
172,ab,PWF-039-2023,56.3872,-117.246, 2023-05-09 05:21:00,0.01, UC,2023-05-09 14:36:34
173,qc,50,47.4403,-79.5022, 2023-05-09 00:42:00,2.0, UC,2023-05-09 14:36:34
